case_id,title,source_name,source_type,source_url,source_locator,public_status,license_or_reuse_note,app_family,vuln_class_raw,vuln_class_norm,attack_surface_keywords,endpoint_pattern,endpoint_pattern_status,seed_params,seed_params_status,expected_evidence,emulation_grade,automation_grade,north_star_section,statefulness,difficulty,difficulty_scale,description,hints,tags,normalization_confidence,extraction_notes,second_order_sink
juice-oauthuserpasswordchallenge,Login Bjoern,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,oauthUserPasswordChallenge,public,official public training-app challenge definition,juice-shop,Broken Authentication,auth.bypass-or-account-takeover,"['login', 'file']","['/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password', '/ftp(?:/|$)', '/assets/', '/download', '/logs?']",heuristic,"['email', 'password', 'path', 'file', 'filename', 'id', 'q', 'filter']",heuristic,authentication or password workflow can be bypassed or abused,workflow,signature_plus_state,auth,workflow,4,juice-shop-1-6,"Log in with Bjoern's Gmail account without previously changing his password, applying SQL Injection, or hacking his Google account.","[""The security flaw behind this challenge is 100% OWASP Juice Shop's fault and 0% Google's."", 'One way to light up this challenge in green on the score board, is to be Bjoern Kimminich. In that case, just log in with your Google account to automatically solve this challenge! Congratulations!', 'Most likely you are not Bjoern Kimminich, so instead you might want to take detailed look into how the OAuth login with Google is implemented.', 'It could bring you some insight to register with your own Google account and analyze closely what happens behind the scenes.']",['Code Analysis'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-loginjimchallenge,Login Jim,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,loginJimChallenge,public,official public training-app challenge definition,juice-shop,Injection,auth.bypass-or-account-takeover,"['login', 'file']","['/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password', '/ftp(?:/|$)', '/assets/', '/download', '/logs?']",heuristic,"['email', 'password', 'path', 'file', 'filename', 'id', 'q', 'filter']",heuristic,authentication or password workflow can be bypassed or abused,workflow,signature_plus_state,auth,workflow,3,juice-shop-1-6,Log in with Jim's user account.,"['The challenge description probably gave away what form you should attack.', 'You need to know (or smart-guess) Jim’s email address so you can launch a targeted attack.', 'If you harvested Jim’s password hash, you can try to attack that instead of using SQL Injection.']",['Tutorial'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-loginrapperchallenge,Login MC SafeSearch,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,loginRapperChallenge,public,official public training-app challenge definition,juice-shop,Sensitive Data Exposure,auth.bypass-or-account-takeover,"['search', 'login', 'file']","['/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password', '/(#/)?search\\b', '/rest/products/search', '/ftp(?:/|$)', '/assets/', '/download', '/logs?']",heuristic,"['q', 'search', 'query', 'email', 'password', 'path', 'file', 'filename']",heuristic,authentication or password workflow can be bypassed or abused,workflow,signature_plus_state,auth,workflow,2,juice-shop-1-6,Log in with MC SafeSearch's original user credentials without applying SQL Injection or any other bypass.,"['MC SafeSearch is a rapper who produced the song ""Protect Ya\' Passwordz"" which explains password & sensitive data protection very nicely.', 'After watching the music video of this song, you should agree that even ⭐⭐ is a slightly exaggerated difficulty rating for this challenge.']","['Shenanigans', 'OSINT']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-loginsupportchallenge,Login Support Team,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,loginSupportChallenge,public,official public training-app challenge definition,juice-shop,Security Misconfiguration,auth.bypass-or-account-takeover,"['login', 'file', 'config']","['/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password', '/ftp(?:/|$)', '/assets/', '/download', '/logs?']",heuristic,"['email', 'password', 'path', 'file', 'filename', 'id', 'q', 'filter']",heuristic,authentication or password workflow can be bypassed or abused,workflow,signature_plus_state,auth,workflow,6,juice-shop-1-6,Log in with the support team's original user credentials without applying SQL Injection or any other bypass.,"['The underlying flaw of this challenge is a lot more human error than technical weakness.', 'The support team is located in a low-cost country and the team structure fluctuates a lot due to people leaving for jobs with even just slightly better wages.', 'To prevent abuse the password for the support team account itself is actually very strong.', 'To allow easy access during an incident, the support team utilizes a 3rd party tool which every support engineer can access to get the current account password from.', 'While it is also possible to use SQL Injection to log in as the support team, this will not solve the challenge.']","['Brute Force', 'Code Analysis']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-basketmanipulatechallenge,Manipulate Basket,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,basketManipulateChallenge,public,official public training-app challenge definition,juice-shop,Broken Access Control,access-control.unauthorized-access,['generic-web'],,unknown,[],unknown,resource or action is available without the intended authorization checks,stateful,signature_plus_state,access-control,stateful,3,juice-shop-1-6,Put an additional product into another user's shopping basket.,"['Have an eye on the HTTP traffic while placing products in the shopping basket.', 'Adding more instances of the same product to someone else’s basket does not qualify as a solution. The same goes for stealing from someone else’s basket.', 'This challenge requires a bit more sophisticated tampering than others of the same ilk.']",[],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-misplacedsignaturefilechallenge,Misplaced Signature File,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,misplacedSignatureFileChallenge,public,official public training-app challenge definition,juice-shop,Observability Failures,log-exposure,['file'],"['/ftp(?:/|$)', '/assets/', '/download', '/logs?']",heuristic,"['path', 'file', 'filename']",heuristic,logs or observability data leak sensitive operational details,replayable,signature,exposure,stateless,4,juice-shop-1-6,Access a misplaced SIEM signature file.,"['You need to trick a security mechanism into thinking that the file you want has a valid file type.', 'If you solved one of the other four file access challenges, you already know where the SIEM signature file is located.', 'Simply reuse the trick that already worked for the files above.']","['Good Practice', 'Contraption']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-timingattackchallenge,Multiple Likes,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,timingAttackChallenge,public,official public training-app challenge definition,juice-shop,Broken Anti Automation,anti-automation-bypass,['feedback'],,unknown,[],unknown,"rate limit, CAPTCHA, or bot controls are bypassable",workflow,ai_assisted,anti-automation,workflow,6,juice-shop-1-6,Like any review at least three times as the same user.,"['Punctuality is the politeness of kings.', 'Every user is (almost) immediately associated with the review they ""liked"" to prevent abuse of that functionality.', 'Did you really think clicking the ""like"" button three times in a row really fast would be enough to solve a ⭐⭐⭐⭐⭐⭐ challenge?', 'The underlying flaw of this challenge is a Race Condition.']",[],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-eastereggleveltwochallenge,Nested Easter Egg,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,easterEggLevelTwoChallenge,public,official public training-app challenge definition,juice-shop,Cryptographic Issues,crypto-weakness,['generic-web'],,unknown,[],unknown,cryptographic controls can be bypassed or sensitive material can be derived,workflow,ai_assisted,crypto,workflow,4,juice-shop-1-6,Apply some advanced cryptanalysis to find the real easter egg.,"['You might have to peel through several layers of tough-as-nails encryption for this challenge.', 'Make sure you solve Find the hidden easter egg first.', 'You might have to peel through several layers of tough-as-nails encryption for this challenge.']","['Shenanigans', 'Good for Demos']",0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-nosqlcommandchallenge,NoSQL DoS,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,noSqlCommandChallenge,public,official public training-app challenge definition,juice-shop,Injection,nosqli,['generic-web'],,unknown,"['id', 'q', 'filter']",heuristic,attacker-controlled input changes backend query or execution semantics,replayable,signature,injection,stateless,4,juice-shop-1-6,Let the server sleep for some time. (It has done more than enough hard work for you),"['This challenge is essentially a stripped-down Denial of Service (DoS) attack.', 'As stated in the Architecture overview, OWASP Juice Shop uses a MongoDB derivate as its NoSQL database.', 'The categorization into the NoSQL Injection category totally gives away the expected attack vector for this challenge. Trying any others will not solve the challenge, even if they might yield the same result.', 'In particular, flooding the application with requests will not solve this challenge. That would probably just kill your server instance.']",['Danger Zone'],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-nosqlorderschallenge,NoSQL Exfiltration,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,noSqlOrdersChallenge,public,official public training-app challenge definition,juice-shop,Injection,nosqli,['api'],,unknown,"['id', 'q', 'filter', 'query', 'variables']",heuristic,attacker-controlled input changes backend query or execution semantics,replayable,signature,injection,stateless,5,juice-shop-1-6,All your orders are belong to us! Even the ones which don't.,"['Take a close look on how the $where query operator works in MongoDB.', 'This challenge requires a classic Injection attack.', 'Find an API endpoint with the intent of delivering a single order to the user and work with that.', 'Reading up on how MongoDB queries work is really helpful here.']",['Danger Zone'],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-nosqlreviewschallenge,NoSQL Manipulation,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,noSqlReviewsChallenge,public,official public training-app challenge definition,juice-shop,Injection,nosqli,['feedback'],,unknown,"['id', 'q', 'filter']",heuristic,attacker-controlled input changes backend query or execution semantics,replayable,signature,injection,stateless,4,juice-shop-1-6,Update multiple product reviews at the same time.,"['Take a close look on how the equivalent of UPDATE-statements in MongoDB work.', 'This challenge requires another classic Injection attack.', 'It is also worth looking into how Query Operators work in MongoDB.']",[],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-redirectcryptocurrencychallenge,Outdated Allowlist,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,redirectCryptoCurrencyChallenge,public,official public training-app challenge definition,juice-shop,Unvalidated Redirects,open-redirect,['generic-web'],,unknown,"['next', 'url', 'redirect']",heuristic,redirect target or forward location is attacker-controlled,replayable,signature,redirect,stateless,1,juice-shop-1-6,Let us redirect you to one of our crypto currency addresses which are not promoted any longer.,"['When removing references to those addresses from the code the developers have been a bit sloppy.', 'More particular, they have been sloppy in a way that even the Angular Compiler was not able to clean up after them automatically.', 'It is of course not sufficient to just visit any of the crypto currency links directly to solve the challenge.']",['Code Analysis'],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-weakpasswordchallenge,Password Strength,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,weakPasswordChallenge,public,official public training-app challenge definition,juice-shop,Broken Authentication,access-control.admin-exposure,"['login', 'admin', 'file']","['/(#/)?admin\\b', '/api/admin\\b', '/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password', '/ftp(?:/|$)', '/assets/', '/download', '/logs?']",heuristic,"['email', 'password', 'path', 'file', 'filename', 'id', 'q', 'filter']",heuristic,unauthorized user can reach administrative functionality or content,stateful,signature_plus_state,access-control,stateful,2,juice-shop-1-6,Log in with the administrator's user credentials without previously changing them or applying SQL Injection.,"['This challenge can be solved with three different approaches.', 'Guessing might work just fine.', 'If you harvested the admin’s password hash, you can try to attack that.', 'In case you use some hacker tool, you can also go for a brute force attack using a generic password list.']","['Brute Force', 'Tutorial']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-negativeorderchallenge,Payback Time,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,negativeOrderChallenge,public,official public training-app challenge definition,juice-shop,Improper Input Validation,generic-web-issue,['generic-web'],,unknown,[],unknown,externally observable security weakness,workflow,ai_assisted,misc,workflow,3,juice-shop-1-6,Place an order that makes you rich.,"['You literally need to make the shop owe you any amount of money.', 'Investigate the shopping basket closely to understand how it prevents you from creating orders that would fulfil the challenge.']",[],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-premiumpaywallchallenge,Premium Paywall,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,premiumPaywallChallenge,public,official public training-app challenge definition,juice-shop,Cryptographic Issues,crypto-weakness,"['wallet', 'config']",,unknown,[],unknown,cryptographic controls can be bypassed or sensitive material can be derived,workflow,ai_assisted,crypto,workflow,6,juice-shop-1-6,Unlock Premium Challenge to access exclusive content.,"['You do not have to pay anything to unlock this challenge! Nonetheless, donations are very much appreciated.', 'There is no inappropriate, self-written or misconfigured cryptographic library to be exploited here.', 'How much protection does a sturdy top-quality door lock add to your house if you put the key under the door mat? Or hide the key in the nearby plant pot? Or tape the key to the underside of the mailbox?', 'Once more: You do not have to pay anything to unlock this challenge!']",['Shenanigans'],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-privacypolicychallenge,Privacy Policy,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,privacyPolicyChallenge,public,official public training-app challenge definition,juice-shop,Miscellaneous,business-logic,['generic-web'],,unknown,[],unknown,multi-step workflow can be manipulated to reach unintended business outcome,workflow,ai_assisted,business-logic,workflow,1,juice-shop-1-6,Read our privacy policy.,"[""We won't even ask you to confirm that you did. Just read it. Please. Pretty please."", 'When you work with the application you will most likely solve this challenge in the process.', 'Any automated crawling or spidering tool you use might solve this challenge for you.', 'There is no real hacking involved here.']","['Good Practice', 'Tutorial', 'Good for Demos']",0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-privacypolicyproofchallenge,Privacy Policy Inspection,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,privacyPolicyProofChallenge,public,official public training-app challenge definition,juice-shop,Security through Obscurity,obscurity-hidden-surface,['wallet'],,unknown,"['next', 'url', 'redirect']",heuristic,security depends on hidden routes or obfuscated client-side knowledge,workflow,ai_assisted,discovery,workflow,3,juice-shop-1-6,Prove that you actually read our privacy policy.,"['Only by visiting a special URL you can confirm that you read it carefully.', 'First you should obviously solve the ""Read our privacy policy"" challenge.', 'It is fine to use the mouse cursor to not lose sight of the paragraph you are currently reading.', 'If you find some particularly hot sections in the policy you might want to melt them together similar to what you might have already uncovered in Apply some advanced cryptanalysis to find the real easter egg.']","['Shenanigans', 'Good for Demos']",0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-changeproductchallenge,Product Tampering,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,changeProductChallenge,public,official public training-app challenge definition,juice-shop,Broken Access Control,access-control.admin-exposure,"['admin', 'api']","['/(#/)?admin\\b', '/api/admin\\b']",heuristic,"['id', 'q', 'filter', 'query', 'variables']",heuristic,unauthorized user can reach administrative functionality or content,stateful,signature_plus_state,access-control,stateful,3,juice-shop-1-6,Change the href of the link within the OWASP SSL Advanced Forensic Tool (O-Saft) product description into https://owasp.slack.com.,"['Theoretically there are three possible ways to beat this challenge: a) broken admin functionality, b) holes in RESTful API or c) possibility for SQL Injection.', 'In practice two of these three ways should turn out to be dead ends.']",[],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-reflectedxsschallenge,Reflected XSS,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,reflectedXssChallenge,public,official public training-app challenge definition,juice-shop,XSS,xss.reflected,['generic-web'],"['/(#/)?search\\b', '/rest/products/search']",heuristic,"['q', 'search', 'query', 'next', 'url', 'redirect']",heuristic,attacker-controlled input is reflected into an executable client-side context,replayable,browser_assisted,xss,stateless,2,juice-shop-1-6,Perform a reflected XSS attack with .,"['Look for a url parameter where its value appears in the page it is leading to.', 'Try probing for XSS vulnerabilities by submitting text wrapped in an HTML tag which is easy to spot on screen, e.g. or .']","['Tutorial', 'Danger Zone', 'Good for Demos']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-passwordrepeatchallenge,Repetitive Registration,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,passwordRepeatChallenge,public,official public training-app challenge definition,juice-shop,Improper Input Validation,auth.bypass-or-account-takeover,"['login', 'wallet']","['/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password']",heuristic,"['email', 'password']",heuristic,authentication or password workflow can be bypassed or abused,workflow,signature_plus_state,auth,workflow,1,juice-shop-1-6,Follow the DRY principle while registering a user.,"['You can solve this by cleverly interacting with the UI or bypassing it altogether.', 'The obvious repetition in the User Registration form is the Repeat Password field.', 'Try to register with either an empty or different value in Repeat Password.', 'You can solve this challenge by cleverly interacting with the UI or bypassing it altogether.']",[],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-resetpasswordbenderchallenge,Reset Bender's Password,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,resetPasswordBenderChallenge,public,official public training-app challenge definition,juice-shop,Broken Authentication,auth.password-reset,['login'],"['/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password']",heuristic,"['email', 'password', 'answer', 'newPassword']",heuristic,authentication or password workflow can be bypassed or abused,workflow,signature_plus_state,auth,workflow,4,juice-shop-1-6,Reset Bender's password via the Forgot Password mechanism with the original answer to his security question.,"['If you have no idea who Bender is, please put down this book right now and watch the first episodes of Futurama before you come back.', 'Unexpectedly, Bender also chose to answer his chosen question truthfully.', 'Hints to the answer to Bender’s question can be found in publicly available information on the Internet.', 'If a seemingly correct answer is not accepted, you might just need to try some alternative spelling.', 'Brute forcing the answer should be next to impossible.']",['OSINT'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-resetpasswordbjoernchallenge,Reset Bjoern's Password,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,resetPasswordBjoernChallenge,public,official public training-app challenge definition,juice-shop,Broken Authentication,auth.password-reset,['login'],"['/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password']",heuristic,"['email', 'password', 'answer', 'newPassword']",heuristic,authentication or password workflow can be bypassed or abused,workflow,signature_plus_state,auth,workflow,5,juice-shop-1-6,Reset the password of Bjoern's internal account via the Forgot Password mechanism with the original answer to his security question.,"[""Nothing a little bit of Facebook stalking couldn't reveal. Might involve a historical twist."", 'Other than with his OWASP account, Bjoern was a bit less careless with his choice of security and answer to his internal account.', 'Bjoern chose to answer his chosen question truthfully but tried to make it harder for attackers by applying sort of a historical twist.', 'Again, hints to the answer to Bjoern’s question can be found by looking him up on the Internet.', 'Brute forcing the answer should be next to impossible.']",['OSINT'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-resetpasswordjimchallenge,Reset Jim's Password,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,resetPasswordJimChallenge,public,official public training-app challenge definition,juice-shop,Broken Authentication,auth.password-reset,['login'],"['/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password']",heuristic,"['email', 'password', 'answer', 'newPassword']",heuristic,authentication or password workflow can be bypassed or abused,workflow,signature_plus_state,auth,workflow,3,juice-shop-1-6,Reset Jim's password via the Forgot Password mechanism with the original answer to his security question.,"['The hardest part of this challenge is actually to find out who Jim actually is.', 'Jim picked one of the worst security questions and chose to answer it truthfully.', 'As Jim is a celebrity, the answer to his question is quite easy to find in publicly available information on the internet.', 'Even brute forcing the answer should be possible with the right kind of word list.']",['OSINT'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-resetpasswordmortychallenge,Reset Morty's Password,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,resetPasswordMortyChallenge,public,official public training-app challenge definition,juice-shop,Broken Anti Automation,auth.password-reset,['login'],"['/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password']",heuristic,"['email', 'password', 'answer', 'newPassword']",heuristic,authentication or password workflow can be bypassed or abused,workflow,signature_plus_state,auth,workflow,5,juice-shop-1-6,Reset Morty's password via the Forgot Password mechanism with his obfuscated answer to his security question.,"['Finding out who Morty actually is, will help to reduce the solution space.', 'You can assume that Morty answered his security question truthfully but employed some obfuscation to make it more secure.', 'Morty’s answer is less than 10 characters long and does not include any special characters.', 'Unfortunately, Forgot your password? is protected by a rate limiting mechanism that prevents brute forcing. You need to beat this somehow.']","['OSINT', 'Brute Force']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-retrieveblueprintchallenge,Retrieve Blueprint,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,retrieveBlueprintChallenge,public,official public training-app challenge definition,juice-shop,Sensitive Data Exposure,info-disclosure,['file'],"['/ftp(?:/|$)', '/assets/', '/download', '/logs?']",heuristic,"['path', 'file', 'filename']",heuristic,"sensitive file, data object, or credential material is retrievable without intended protection",replayable,signature,exposure,stateless,5,juice-shop-1-6,Deprive the shop of earnings by downloading the blueprint for one of its products.,"['Check for products which seem like a natural fit for being based on a blueprint.', 'You might want to pay attention to the images of the identified product candidates.', 'For your inconvenience the blueprint was not misplaced into the same place like so many others forgotten files covered in this chapter.']",[],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-ssrfchallenge,SSRF,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,ssrfChallenge,public,official public training-app challenge definition,juice-shop,Broken Access Control,access-control.unauthorized-access,"['wallet', 'repo']",,unknown,"['path', 'repo', 'file', 'env', 'token', 'key']",heuristic,resource or action is available without the intended authorization checks,stateful,signature_plus_state,access-control,stateful,6,juice-shop-1-6,Request a hidden resource on server through server.,"['Reverse engineering something bad can make good things happen.', 'Using whatever you find inside the malware directly will not do you any good.', 'For this to count as an SSRF attack you need to make the Juice Shop server attack itself.', 'Do not try to find the source code for the malware on GitHub. Take it apart with classic reverse-engineering techniques instead.']",['Code Analysis'],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-sstichallenge,SSTi,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,sstiChallenge,public,official public training-app challenge definition,juice-shop,Injection,command-injection,"['search', 'file']","['/(#/)?search\\b', '/rest/products/search']",heuristic,"['q', 'search', 'query', 'path', 'file', 'filename', 'next', 'url']",heuristic,attacker-controlled input changes backend query or execution semantics,replayable,signature,injection,stateless,6,juice-shop-1-6,Infect the server with juicy malware by abusing arbitrary command execution.,"['""SSTi"" is a clear indicator that this has nothing to do with anything Angular. Also, make sure to use only our non-malicious malware.', 'You can find the juicy malware via a very obvious Google search or by stumbling into a very ill-placed quarantine folder with the necessary URLs in it.', 'Making the server download and execute the malware is key to solving this challenge.', 'For this challenge you do not have to reverse engineer the malware in any way. That will be required later to solve the ""Request a hidden resource on server through server"" challenge.']","['Contraption', 'Danger Zone', 'Code Analysis']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-scoreboardchallenge,Score Board,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,scoreBoardChallenge,public,official public training-app challenge definition,juice-shop,Miscellaneous,business-logic,['generic-web'],,unknown,[],unknown,multi-step workflow can be manipulated to reach unintended business outcome,workflow,ai_assisted,business-logic,workflow,1,juice-shop-1-6,Find the carefully hidden 'Score Board' page.,[],"['Tutorial', 'Code Analysis']",0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-securitypolicychallenge,Security Policy,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,securityPolicyChallenge,public,official public training-app challenge definition,juice-shop,Miscellaneous,business-logic,"['search', 'wallet']","['/(#/)?search\\b', '/rest/products/search']",heuristic,"['q', 'search', 'query']",heuristic,multi-step workflow can be manipulated to reach unintended business outcome,workflow,ai_assisted,business-logic,workflow,2,juice-shop-1-6,"Behave like any ""white-hat"" should before getting into the action.","['This challenge asks you to act like an ethical hacker.', 'Undoubtedly you want to read our security policy before conducting any research on our application.', 'As one of the good guys, would you just start attacking an application without consent of the owner?', 'You also might want to read the security policy or any bug bounty program that is in place.']",['Good Practice'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-persistedxssfeedbackchallenge,Server-side XSS Protection,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,persistedXssFeedbackChallenge,public,official public training-app challenge definition,juice-shop,XSS,xss.stored,['feedback'],"['/(#/)?search\\b', '/rest/products/search', '/api/feedback', '/(#/)?contact\\b']",heuristic,"['q', 'search', 'query']",heuristic,attacker-controlled payload is stored and later rendered unsafely,stateful,browser_assisted,xss,stateful,4,juice-shop-1-6,Perform a persisted XSS attack with bypassing a server-side security mechanism.,"['The ""Comment"" field in the ""Customer Feedback"" screen is where you want to put your focus on.', 'The Comment field in the Contact Us screen is where you want to put your focus on.', 'The attack payload ` will not be rejected by any validator but stripped from the comment before persisting it.', 'Look for possible dependencies related to input processing in the package.json.bak you harvested earlier.', 'If an XSS alert shows up but the challenge does not appear as solved on the Score Board, you might not have managed to put the exact attack string ` into the database?']",['Danger Zone'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-hiddenimagechallenge,Steganography,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,hiddenImageChallenge,public,official public training-app challenge definition,juice-shop,Security through Obscurity,obscurity-hidden-surface,['generic-web'],,unknown,[],unknown,security depends on hidden routes or obfuscated client-side knowledge,workflow,ai_assisted,discovery,workflow,4,juice-shop-1-6,Rat out a notorious character hiding in plain sight in the shop. (Mention the exact name of the character),"['There is not the slightest chance that you can spot the hidden character with the naked eye.', 'You will need very specialized tool assistance for this challenge.', 'The effective difficulty of this challenge depends a lot on what tools you pick to tackle it.', 'This challenge cannot be solved by just reading our ""Lorem Ipsum""-texts carefully.']",['Shenanigans'],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
